iteration	timestamp	stage	hypothesis	command_or_artifact	status	result
setup	2026-08-10T00:00:00+08:00	objective	A fixed fail-closed protocol prevents premature API reruns	AUTORESEARCH_OBJECTIVE_20260810.md	keep	Objective and acceptance gates recorded; no manuscript edits authorized
001	2026-08-10T01:50:00+08:00	local_validation	Numeric-symbol and structured-field mutation attacks must fail closed	28 unit regression and integration tests	keep	28/28 passed including all 200 contexts case_018 lock Unicode numerics opposite semantics and every structured-field mutation
002	2026-08-10T01:52:00+08:00	pre_api_gate	Rebuilt contexts retain scope provenance arithmetic and prompt isolation	pre_run_v4_final/PRE_RUN_AUDIT.json	keep	12/12 checks passed across 50 cases and 200 unique contexts
003	2026-08-10T01:56:00+08:00	formal_api_and_postprocess	A fresh run should complete all API and synchronization gates	run_full_v4_pipeline.py	crash	API and core audits passed 200/200 with zero reuse and zero failures; postprocessing stopped because supplementary_data was created after its first copy operation
004	2026-08-10T01:58:00+08:00	postprocess_repair	Creating supplementary_data before the first copy should make synchronization deterministic	build_publication_outputs.py	keep	Directory-order repair accepted for local rerun; no API rerun required
005	2026-08-10T01:57:44+08:00	formal_run_completion	The repaired postprocessor should preserve one run-level source of truth	PUBLICATION_INPUT_CONSISTENCY_AUDIT.json	keep	200/200 fresh valid API outputs zero old-response reuse zero final failures all core audits pass and all generated table/figure inputs match the final registry
006	2026-08-10T02:00:00+08:00	release_verification	All recomputed artifacts should match the retained hashes	verify_release.py --with-sensitivity	discard	Nine of ten compared artifacts matched; response audit summary differed only because created_at used wall-clock time
007	2026-08-10T02:01:00+08:00	deterministic_audit_time	Anchoring created_at to the finalized run manifest should make repeated audits byte-stable	audit_generated_responses.py and integration regression	keep	Implementation and consecutive-run byte-equality regression added; pending full gate
008	2026-08-10T02:06:00+08:00	protocol_change	Five distinct cases must pass consecutively before the final 200-context API run	AUTORESEARCH_OBJECTIVE_20260810.md	keep	New mandatory gate recorded; the earlier 200-output run is retained but superseded as the final run
009	2026-08-10T02:12:30+08:00	pre_spot_local_gate	The repaired code must pass all 200 local contexts before any API spot check	28 tests and pre_spot_check_local_gate_20260810/PRE_RUN_AUDIT.json	keep	28/28 tests and 12/12 pre-API checks passed; spot-check gate may begin but final 200 API run remains prohibited
010	2026-08-10T02:15:00+08:00	spot_check_reporting_scope	A one-case API check must not be summarized with full-run aggregation artifacts	spot_check_002_case_006.md	keep	Check 2 failed despite valid API outputs because generic partial summaries mixed scopes; consecutive counter reset to zero and specialized per-case auditing retained
011	2026-08-10T02:19:00+08:00	spot_check_gate	Five distinct cases must pass after the reporting-scope repair	SPOT_CHECK_INDEX.json	keep	Checks 3-7 passed consecutively for case_044 case_050 case_015 case_045 and case_033; final 200-run authorization enabled
012	2026-08-10T02:20:00+08:00	formal_gate_enforcement	Numeric ownership semantic validation and five-case chronology must be non-bypassable	run_full_v4_pipeline.py and audit_experiment_integrity.py	keep	Formal runner now refuses execution without the gate; integrity audit checks five fresh four-configuration runs and chronological ordering
